"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","PA01","PA18","PA05_01","PA05_02","PA05_03","PA05_04","PA05_05","PA05_06","PA20_01","PA20_02","PA20_03","PA20_04","PA20_05","PA20_06","PA14","PA12","PA17","PA07_01","PA19_01","PA08_01","PA23_01","PA15","PA22","PA16","TR02_01","TR03","TR16","TR04_01","TR04_02","TR04_03","TR04_04","TR04_05","TR04_06","TR04_07","TR04_08","TR11_01","TR11_02","TR11_03","TR11_04","TR11_05","TR11_06","TR11_07","TR11_08","TR05_02","TR05_03","TR05_04","TR05_05","TR05_06","TR05_07","TR06","TR17","SD01","SD03_01","SD04","SD07","SD09","SD17","SD15","SD12","SD14","SD16","GT01","GT02","RG02_01","RG11_01","RG12_01","RG09","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
588,,,"russia","interview","rus",2021-04-08 21:41:11,2,,1,2,3,5,5,5,,,,,,,1,,,6,,5,,3,,1,"?????? ? ?? ??????????.????? ??????",2,,3,3,3,3,3,3,3,3,,,,,,,,,4,4,3,3,4,3,3,,1,35,3,2,1,,1,1,,1,2,,"2",,,1,10,23,75,122,92,65,55,442,,2021-04-08 21:48:33,1,0,7,7,0,0,1.02,6
589,,,"russia","interview","rus",2021-04-08 21:41:11,3,,1,4,1,5,4,2,,,,,,,1,,,6,,8,,3,,2,"19 ???????? 2021 ???? ?????? ?????????? ?????? ????????? ??????????????? ????. ??????? ???????????, ??? ?????? ?????????????? ????????? ??????????? ??-?? ?????? ????????????? ????????, ? ?????????? ???????? ??????? ? ?????? ?????????? ?????????? ?? ?????? ???????? ??????.",2,,1,2,3,1,2,1,2,3,,,,,,,,,1,1,3,1,2,2,3,,1,25,8,2,4,,3,1,,-1,2,,"2",,,1,6,26,51,290,60,44,43,520,,2021-04-08 21:49:51,1,0,7,7,0,0,1.23,15
590,,,"russia","interview","rus",2021-04-08 21:41:12,3,,1,5,4,5,5,4,,,,,,,1,,,5,,8,,3,,1,"19 ???????? ?????? ????????? ???????. ???????????,??? ????? ??????? ???????? ??? ??????.",2,,3,3,2,2,2,2,2,3,,,,,,,,,2,2,2,2,3,2,3,,2,35,8,1,3,,1,1,,2,2,,"2",,,1,10,26,92,128,64,62,52,434,,2021-04-08 21:48:26,1,0,7,7,0,0,1.03,6
592,,,"russia","interview","rus",2021-04-08 21:41:12,1,,1,2,1,5,2,2,,,,,,,4,,,7,,8,,4,,1,"? ???????? ????? ????????? ?????? ????????? ??? ????. ???????????? ?????????????? ???????? ? ??????? ??????????? ??? ?????? ?????????????? ????????? ???????? ??????? ????????????? ???????? ? ?????? ???????? ??????, ????? ????????? ? ?????????? ?????? ????????? ?? ????????.",4,,3,2,1,1,2,1,2,1,,,,,,,,,2,1,1,3,1,2,1,,2,29,10,3,2,,1,1,,2,2,,"3",,,1,91,96,169,442,272,95,124,1289,,2021-04-08 22:02:42,1,0,7,7,0,0,0.33,0
593,,,"russia","interview","rus",2021-04-08 21:41:12,3,,-9,4,-9,-9,-9,-9,,,,,,,1,,,-1,,7,,2,,2,"4% ???????? ??????? ??????",3,,1,2,4,2,3,2,1,3,,,,,,,,,2,2,4,1,2,2,2,,2,34,4,2,4,,2,1,,2,2,,"2",,,1,38,58,57,304,190,65,217,929,,2021-04-08 21:56:41,1,0,7,7,13,12,0.53,0
594,,,"russia","interview","rus",2021-04-08 21:41:13,2,,-9,-9,-9,4,-9,-9,,,,,,,2,,,6,,9,,3,,1,"?????? ????, ? ?????? ???",3,,3,2,1,2,2,1,3,3,,,,,,,,,2,3,3,3,3,3,2,,1,48,10,4,5,,5,1,,2,1,,"1",,,1,32,48,57,126,83,43,65,454,,2021-04-08 21:48:47,1,0,7,7,13,12,0.86,1
595,,,"russia","interview","rus",2021-04-08 21:41:13,2,,3,5,5,5,-9,-9,,,,,,,3,,,7,,8,,2,,2,"?????? ????????? ?????????????????. ? ?????? ???????? ?????? ????????? ?????????",4,,3,2,3,1,1,1,2,3,,,,,,,,,2,3,3,1,2,3,3,,1,42,10,4,2,,1,1,,2,1,,"2",,,1,13,22,44,83,60,27,44,293,,2021-04-08 21:46:06,1,0,7,7,5,5,1.37,19
596,,,"russia","interview","rus",2021-04-08 21:41:14,2,,4,5,5,5,4,5,,,,,,,16,,,4,,10,,3,,2,"????? ??????? ?? ????????? ???? ?????????? ????????, ??? ?????????? ??????? ?????????????????. ????? ????????????? ???????? ???? ???????.",4,,3,2,1,2,3,2,2,2,,,,,,,,,2,2,3,2,2,2,3,,2,57,10,2,3,,2,1,,2,2,,"3",,,1,13,32,72,174,86,46,78,501,,2021-04-08 21:49:35,1,0,7,7,0,0,0.88,0
598,,,"russia","interview","rus",2021-04-08 21:41:16,4,,1,3,3,-9,4,4,,,,,,,16,,,6,,7,,3,,1,"??????? ?????? ? ????. ????? ????????????, ??? ????? ?????????.",2,,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,2,,1,33,10,1,2,,1,1,,2,2,,"2",,,1,100,94,80,105,84,78,67,521,,2021-04-08 21:51:24,1,0,7,7,3,3,0.69,2
601,,,"russia","interview","rus",2021-04-08 21:41:16,2,,2,5,5,5,5,5,,,,,,,16,,,6,,9,,3,,1,"???????????? ?????? ????????? ? ??????????????? ???? ?????? ? ???????????. ???????????? ???????? ????? ??????????. ????? ????????????? ???????? ???? ????????? ?? ??????? ???????? ? ?????????? ? ????????? ???????????????",4,,2,2,1,1,2,1,1,1,,,,,,,,,2,2,2,1,2,2,2,,1,28,8,2,2,,3,1,,3,2,,"4",,,1,15,31,67,410,55,37,61,676,,2021-04-08 21:52:32,1,0,7,7,0,0,0.94,4
604,,,"russia","interview","rus",2021-04-08 21:41:18,2,,-9,-9,-9,5,-9,-9,,,,,,,2,,,8,,8,,3,,2,"????????????? ??????? ??????? ???????, ????????? ?????????, ? ?????? ?????? ?????????? ? ????????????? ??????????? ???????? ???????.",3,,3,2,2,3,2,3,2,3,,,,,,,,,2,1,3,2,1,2,3,,2,30,10,4,4,,5,1,,1,2,,"2",,,1,59,29,46,141,66,30,54,425,,2021-04-08 21:48:23,1,0,7,7,13,12,1.03,7
607,,,"russia","interview","rus",2021-04-08 21:41:20,2,,2,5,2,5,3,5,,,,,,,2,,,3,,10,,3,,1,"? ?????????? ??????? ? ???????????????? ???? ???? ???????? ?????? ?????????.??? ???????? ???? ???????? ???????? ???????????? ????????????????.",1,,4,3,4,3,3,3,3,3,,,,,,,,,3,3,2,2,1,2,3,,2,51,8,1,4,,1,1,,2,2,,"4",,,1,28,47,80,370,110,50,77,762,,2021-04-08 21:54:02,1,0,7,7,0,0,0.65,0
616,,,"russia","interview","rus",2021-04-08 21:41:24,2,,4,5,5,5,2,5,,,,,,,3,,,10,,5,,3,,2,"???? ??? ??????????? ???? ???????? ?????? ?????????,?? ????????? ?????? ??????? ????????? .",1,,4,3,2,3,3,3,3,4,,,,,,,,,2,1,3,3,3,2,2,,1,31,4,2,1,,1,1,,2,2,,"4",,,1,11,32,49,115,70,39,40,356,,2021-04-08 21:47:20,1,0,7,7,0,0,1.17,9
619,,,"russia","interview","rus",2021-04-08 21:41:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,526,0,,,,,,13,,2021-04-08 21:50:11,0,0,2,2,0,0,1.51,250
621,,,"russia","interview","rus",2021-04-08 21:41:26,3,,2,2,2,5,5,3,,,,,,,15,,,-1,,8,,2,,-1,"19.09.21 ?????? ?????? ? ??????????????? ????, ?????? ??? ?????????????? ????????? ???????????, ?????????????? ???????????. ????????? ? ?????????? ????????? ?? ???????? ????????????? ????????.",2,,3,3,2,2,2,2,3,-1,,,,,,,,,2,2,3,3,2,2,2,,1,25,4,2,1,,1,1,,2,2,,"3",,,1,19,51,46,128,54,28,43,369,,2021-04-08 21:47:35,1,0,7,7,0,0,1.14,12
623,,,"russia","interview","rus",2021-04-08 21:41:26,3,,3,3,3,3,3,3,,,,,,,16,,,5,,6,,2,,2,"19 ???????? 2021 ???? ?????????? ?????? ????????? ???. ????. ????? ????????? ????? ?????? ????????.",2,,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,4,2,,2,19,4,3,2,,4,1,,1,2,,"3",,,1,4,26,51,326,28,19,58,512,,2021-04-08 21:49:58,1,0,7,7,0,0,1.68,40
624,,,"russia","interview","rus",2021-04-08 21:41:27,2,,1,2,3,5,3,3,,,,,,,3,,,5,,7,,3,,1,"?????? ? ??????? ??????.450 ???? ? ??????????.?????? 4 ??????",2,,3,3,2,2,2,2,2,3,,,,,,,,,1,1,1,1,1,1,3,,2,40,4,2,2,,5,1,,2,2,,"1",,,1,5,30,47,141,41,26,45,335,,2021-04-08 21:47:02,1,0,7,7,0,0,1.52,26
626,,,"russia","interview","rus",2021-04-08 21:41:27,3,,1,4,2,4,1,4,,,,,,,2,,,-1,,10,,-1,,-1,"?????? ???? ????????????????",4,,2,2,2,3,3,2,2,3,,,,,,,,,3,3,3,3,3,3,2,,1,33,7,2,1,,1,1,,1,2,,"2",,,1,26,57,86,103,127,76,61,536,,2021-04-08 21:50:23,1,0,7,7,0,0,0.74,2
628,,,"russia","interview","rus",2021-04-08 21:41:28,3,,1,4,5,5,1,2,,,,,,,3,,,6,,9,,-1,,2,"????????? ?????? ? ???????. ??? ???? ????????????????? ? ?????????.",3,,3,2,1,2,2,2,3,3,,,,,,,,,1,1,3,2,2,1,2,,2,36,10,2,4,,1,1,,2,2,,"2",,,1,40,35,65,82,89,41,74,426,,2021-04-08 21:48:34,1,0,7,7,0,0,0.93,5
629,,,"russia","interview","rus",2021-04-08 21:41:28,2,,4,5,5,5,-9,5,,,,,,,16,,,3,,10,,3,,2,"?????? ???????????. ? ????????? ?????? ?????? ??????.....",4,,1,1,1,1,3,1,1,1,,,,,,,,,1,1,4,3,4,3,2,,2,60,10,2,5,,3,1,,2,1,,"1",,,1,23,39,78,97,89,55,91,472,,2021-04-08 21:49:20,1,0,7,7,3,2,0.83,3
630,,,"russia","interview","rus",2021-04-08 21:41:29,2,,1,5,5,5,1,4,,,,,,,3,,,5,,6,,3,,2,"???????????? ????????????    ????????????? ",1,,4,3,4,4,3,3,3,4,,,,,,,,,1,1,1,1,1,1,2,,1,32,10,2,1,,1,1,,2,2,,"2",,,1,13,18,52,32,57,36,43,251,,2021-04-08 21:45:40,1,0,7,7,0,0,1.54,36
634,,,"russia","interview","rus",2021-04-08 21:41:30,3,,4,5,5,5,5,2,,,,,,,4,,,5,,10,,2,,-1,"????? 2000 ?????????? ?????? ??????? ? ??????????? 19 ???????? 2021 ????. ?????????? ????????? ??? ???? ?????? 110 ????????? ???????. ?? ?????? ??????????? ?????? ?????? ?????? ??????? ????? ? ??????????",3,,2,2,1,1,1,1,2,1,,,,,,,,,1,1,3,2,1,1,2,,1,33,10,4,1,,5,1,,1,2,,"1",,,1,5,23,50,202,68,42,69,459,,2021-04-08 21:49:09,1,0,7,7,0,0,1.26,16
636,,,"russia","interview","rus",2021-04-08 21:41:32,2,,1,5,3,5,5,4,,,,,,,3,,,6,,-1,,3,,2,"19 ???????? 2021 ???? ?????????? ?????? ????????? ???.????,??? ????? ???? 450 ????. ??  ?????? ?????????????? ????????? ??????????? ?? ??????? ?????? ????????????? ????????,????? ? ???? ?????????? ? ????????????? ???????????.",2,,4,4,2,2,3,2,2,2,,,,,,,,,3,2,3,3,2,3,2,,1,19,7,2,1,,4,1,,-1,1,,"2",,,1,4,31,79,323,98,36,60,631,,2021-04-08 21:52:03,1,0,7,7,0,0,1.16,17
638,,,"russia","interview","rus",2021-04-08 21:41:34,1,,4,5,5,5,4,5,,,,,,,1,,,7,,6,,4,,1,"19 ???????? 2021 ???? ?????? ????????? ?????? ??? ????,? ??? ?????? ?????? ? ???????????.? ????? ???????? ????????? ?? ????????.",2,,4,3,3,3,3,3,3,4,,,,,,,,,3,2,3,1,3,3,3,,2,30,10,1,1,,1,1,,2,2,,"3",,,1,6,28,45,137,70,69,45,400,,2021-04-08 21:48:14,1,0,7,7,0,0,1.23,14
639,,,"russia","interview","rus",2021-04-08 21:41:35,3,,2,5,5,5,5,4,,,,,,,1,,,6,,10,,4,,2,"19.09.2021 ???? ?????????? ??????  ????????? ??????????????? ????. ????????, ??? ????? ??? ??????????? ??????????? ????????, ??? ?????? ?????????????? ??????????? ? ??????????????? ??????? ????????????? ???????? ?? ???? ??????. ??????????, ??? ????? ????????????? ???????? ???? ????????? ?? ???????? ????????????? ???????? ? ?????????? ? ????????? ???????????????.",2,,4,4,3,3,2,2,4,4,,,,,,,,,2,2,3,1,1,1,3,,2,38,10,2,2,,6,1,,2,2,,"4",,,1,4,34,70,296,69,69,81,623,,2021-04-08 21:51:58,1,0,7,7,0,0,1.09,17
641,,,"russia","interview","rus",2021-04-08 21:41:36,2,,1,1,2,5,4,2,,,,,,,16,,,8,,8,,3,,1,"???????? ??????????? ?????? ? ??????? ? ???????? ??? ??????. ????? ? ???? ???????? ????? ??? ???? 4 ??????, ??? ???? ?? ??????? ???? ???????? ???????? ????????? ? ?????? ? ?????? ???????? ??????.",4,,3,2,1,2,1,1,3,2,,,,,,,,,3,3,3,3,2,2,2,,1,34,10,2,2,,1,1,,2,2,,"3",,,1,41,174,228,671,256,108,77,1555,,2021-04-08 22:07:31,1,0,7,7,0,0,0.35,0
642,,,"russia","interview","rus",2021-04-08 21:41:36,2,,1,5,4,5,1,5,,,,,,,16,,,8,,10,,2,,1,"?? ??????? ? ??????? ????????? ????????????? ? ?????? ???????? ?????? ? ? ?????????? ????? ????????? ????????? ? ????????? ???????????????.",3,,4,4,3,3,3,3,2,3,,,,,,,,,-1,2,2,2,2,2,3,,1,42,10,2,1,,1,1,,2,2,,"4",,,1,8,21,43,157,60,38,32,359,,2021-04-08 21:47:35,1,0,7,7,0,0,1.37,20
643,,,"russia","interview","rus",2021-04-08 21:41:42,1,,1,3,1,5,4,3,,,,,,,1,,,3,,9,,3,,1,"? ?????? ?????? ????????? ?????? ? ??????????????? ????. ??????? ??????????  ?????? 80% ???????.",1,,4,4,4,2,2,3,3,4,,,,,,,,,1,1,1,3,1,2,3,,2,35,3,2,2,,1,1,,2,2,,"1",,,1,5,31,76,164,79,39,76,470,,2021-04-08 21:49:32,1,0,7,7,0,0,1.15,12
645,,,"russia","interview","rus",2021-04-08 21:41:46,4,,1,5,1,5,5,2,,,,,,,3,,,-1,,9,,2,,1,"19 ???????? 2021 ???? ??????? ??????. ? ??????????????? ???? ??????? ?????????? ?? 450 ????. ? ??????????? ?????? ??????? ????? 110 ???????. ",3,,3,3,1,2,1,2,2,2,,,,,,,,,3,2,4,4,2,3,3,,1,38,3,2,5,,3,1,,2,2,,"1",,,1,14,40,81,212,102,66,78,593,,2021-04-08 21:51:39,1,0,7,7,0,0,0.75,0
646,,,"russia","interview","rus",2021-04-08 21:41:49,3,,-9,5,-9,5,-9,5,,,,,,,4,,,4,,10,,3,,1,"19???????? ? ?????? ????????? ?????? ????????? ??????????????? ????, ? ??????? ?????? ??????? ????? 2000 ?????????????????? ??????????.",2,,1,1,1,2,2,2,2,2,,,,,,,,,2,2,2,2,2,2,2,,1,53,10,3,1,,1,1,,3,2,,"1",,,1,8,31,37,116,82,32,50,356,,2021-04-08 21:47:46,1,0,7,7,8,7,1.27,14
647,,,"russia","interview","rus",2021-04-08 21:41:49,3,,3,3,3,3,3,3,,,,,,,3,,,6,,7,,2,,1,"? ??? ??? ????????? ?????? ?????????  ??? ???? ? ???? ??????????? ??? ????????? ?????? ???? ????????? ?? ??????",2,,3,2,2,3,3,2,3,3,,,,,,,,,3,3,2,2,3,2,2,,2,23,7,2,1,,1,1,,2,2,,"4",,,1,16,26,16,110,37,19,48,272,,2021-04-08 21:46:21,1,0,7,7,0,0,1.68,41
648,,,"russia","interview","rus",2021-04-08 21:41:49,4,,1,4,3,5,1,1,,,,,,,3,,,-1,,7,,3,,1,"? ???????? ????? ???? ?????? ?????? ??????. ????? 110 ????????? ??????? ?????? ? ??? ????????????",2,,4,3,3,3,2,2,3,3,,,,,,,,,3,3,3,2,3,2,3,,2,37,7,2,2,,1,1,,2,2,,"1",,,1,8,31,87,155,103,56,113,553,,2021-04-08 21:51:02,1,0,7,7,0,0,0.89,4
649,,,"russia","interview","rus",2021-04-08 21:41:49,2,,2,3,3,4,1,3,,,,,,,3,,,5,,10,,4,,2,"??????????,??? ?????? ? ??????????????? ???? ??????????.????? ????? ???????? ????????? ? ???????? ?????????? ? ???? ???????? ??????,? ?????? ?????????? ?? ???????? ??????",3,,4,2,1,2,2,2,2,3,,,,,,,,,1,1,3,1,1,1,2,,2,32,10,3,2,,6,1,,2,2,,"2",,,1,4,23,50,114,67,49,53,360,,2021-04-08 21:47:49,1,0,7,7,0,0,1.41,23
651,,,"russia","interview","rus",2021-04-08 21:41:56,4,,1,1,1,1,1,1,,,,,,,16,,,-1,,10,,3,,2,"?????? ????????? ?????? ? ???????????, ?????????? ????????.",4,,1,1,1,1,1,1,1,1,,,,,,,,,1,3,3,1,-1,-1,1,,2,25,7,2,1,,5,1,,2,2,,"4",,,1,33,24,49,135,55,49,93,438,,2021-04-08 21:49:14,1,0,7,7,0,0,0.97,6
652,,,"russia","interview","rus",2021-04-08 21:41:56,3,,1,5,1,5,5,4,,,,,,,1,,,-1,,9,,3,,1,"????????,?????? ?????? ? ??????????????? ???? ? ?? ?????? ???????????, ?????? ?????? ???????? ????? ? ??????????.",2,,4,2,-1,3,2,2,2,4,,,,,,,,,1,1,4,1,-1,-1,3,,1,28,4,2,4,,3,1,,2,2,,"1",,,1,46,33,65,127,83,44,84,482,,2021-04-08 21:49:58,1,0,7,7,0,0,0.83,1
653,,,"russia","interview","rus",2021-04-08 21:41:59,3,,2,3,1,4,1,4,,,,,,,3,,,4,,10,,3,,1,"???? ?????? ?????? ????????, ?? ?????????? ?????????????????? ?? ????????",4,,2,2,2,2,2,2,2,2,,,,,,,,,-1,4,-1,-1,-1,-1,2,,1,25,7,4,3,,5,1,,2,2,,"3",,,1,121,30,65,100,113,40,70,431,,2021-04-08 21:50:58,1,0,7,7,0,0,0.86,3
655,,,"russia","interview","rus",2021-04-08 21:42:07,4,,2,5,2,2,2,2,,,,,,,16,,,-1,,-1,,-1,,-1,"? ???????????, 19 ???????? 2021 ????, ? ?????? ?????? ?????????? ?????? ????????? ??????????????? ????",-1,,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,,2,35,-1,3,2,,6,1,,2,1,,"4",,,1,10,31,51,36,26,15,47,216,,2021-04-08 21:45:44,1,0,7,7,0,0,1.92,52
656,,,"russia","interview","rus",2021-04-08 21:42:15,1,,2,1,-9,5,5,4,,,,,,,15,,,2,,10,,2,,1,"? ???????? ?????? ? ???????.??????????? ??? ????? ????? ?????????",4,,1,2,2,2,3,1,2,3,,,,,,,,,2,3,3,2,2,3,3,,2,33,8,2,3,,1,1,,2,2,,"4",,,1,4,13,25,50,32,22,28,174,,2021-04-08 21:45:09,1,0,7,7,3,2,2.42,73
657,,,"russia","interview","rus",2021-04-08 21:42:15,2,,1,2,1,5,4,2,,,,,,,16,,,10,,4,,4,,1,"????? ?????, ??? ? ??? ????????? ?? ?? ?????, ??? ? ?? ??????? ?????????? ? ???????? 2020. ??????! :)",1,,4,3,4,2,1,2,2,4,,,,,,,,,1,1,1,1,1,1,3,,2,50,10,4,2,,5,1,,2,2,,"2",,,1,6,43,92,151,116,83,173,664,,2021-04-08 21:53:19,1,0,7,7,0,0,0.85,8
661,,,"russia","interview","rus",2021-04-08 21:42:44,1,,5,5,5,4,1,3,,,,,,,1,,,9,,9,,4,,1,"??? ??????? ?????????????? ?????????? ? ??????? ?? ??????? ??????? ? ??????????????? ????",2,,3,2,3,2,2,2,2,3,,,,,,,,,2,1,1,1,1,2,2,,2,42,10,3,1,,1,1,,2,2,,"2",,,1,16,41,90,128,77,46,56,454,,2021-04-08 21:50:18,1,0,7,7,0,0,0.9,1
662,,,"russia","interview","rus",2021-04-08 21:42:46,2,,1,2,2,4,4,5,,,,,,,16,,,7,,10,,3,,1,"19.09.2021 ??????, 450 ???? ?? 2000 ??????????, 110 ??? ??????????",4,,1,1,1,1,1,1,1,3,,,,,,,,,2,1,2,1,1,1,2,,1,38,8,3,3,,1,1,,2,2,,"1",,,1,10,39,65,110,77,35,120,456,,2021-04-08 21:50:22,1,0,7,7,0,0,0.99,5
665,,,"russia","interview","rus",2021-04-08 21:43:14,2,,1,3,1,5,4,3,,,,,,,16,,,3,,10,,2,,1,"????????? ?????? ? ??? ???? ???????????????? ?????????? ? ??? ?? ???????????, ??? ? ?????????? - 4 ?????? ??????? ????? ? ??????????",3,,2,3,1,1,1,2,1,2,,,,,,,,,3,3,3,3,3,3,2,,1,42,10,4,2,,1,1,,2,1,,"1",,,1,4,14,61,124,73,37,43,356,,2021-04-08 21:49:10,1,0,7,7,0,0,1.55,30
668,,,"russia","interview","rus",2021-04-08 21:43:35,3,,3,5,1,5,3,4,,,,,,,3,,,8,,8,,2,,1,"?? ????????? ??????? ????????? ??????? ???? ???????? ????????? ??????????? ?? ??????? ?????? ????????????? ????????. ??? ???? ????????? ?? ??????? ???????? ? ?????????? ? ????????? ???????????????.",3,,3,2,1,2,3,2,2,3,,,,,,,,,2,2,3,2,3,3,3,,1,32,10,1,2,,1,1,,2,2,,"4",,,1,40,32,79,155,81,54,51,492,,2021-04-08 21:51:47,1,0,7,7,0,0,0.83,1
