CASE,QUESTNNR,RG02_01,TR02_01,response
4012,colombia,1,Las elecciones del 2022 tuvieron la participación de 1000 candidatos en donde 36 millones de colombianos eligieron 250 puestos para el Congreso de la República que pertenecen a 20 partidos políticos.,0
4053,colombia,1,Según que los congresistas estarían siempre con los mas ricos y dejarían años pobres a defenderse solos,1
4086,colombia,1,Elecciones del congreso del proximo año en Colombia.<br>Veinte partidos conservaron sus puestos en el Congreso.,0
4093,colombia,1,36 millones de de personas ejercen su derecho democratico para elegir entre más del 1000 candidatos,0
4094,colombia,1,"Pasará lo mismo que ha pasado siempre, la corrupción gana, compran votos por un tamal o la registraduria cambio los números para que gane el que dijo Uribe",1
4100,colombia,1,"Las elecciones en general en Colombia permanecen programadas para el domingo 13 de marzo de 2022. <br>Se espera que bastante más de 1,000 candidatos registrados van a concursar por los 280 puestos del Congreso de la República. <br>",0
4110,colombia,1,Las elecciones del 2022 fueron ganadas por 20 partidos políticos.,0
4150,colombia,1,"Un escenario poco probable, Colombia se caracteriza por existir corrupción e impunidad.",1
4152,colombia,1,Elecciones el dia 13 de marzo 2022,0
4153,colombia,1,En las elecciones generales veinte partidos quedaron con puestos en el congreso.,0
4176,colombia,1,Un resultado que demuestra division en las preferencias politicas del pais,1
4191,colombia,1,Las elecciones ya se acercan y los 36 millones de colombianos votantes no han aprendido la leccion de que los partidos politicos que mantienen curules en el congreso son los mismos que actualmente mantienen al pueblo pobre y en crisis.,1
4192,colombia,1,los entes de control que dan claridada y trasparencia a las votaciones no fueron totalmente idoneos para evitar estos tipos de engaños<br>los partidos politicos no han tenido la transparecia para ser justos ganadores y se valen de herramientas sucias para ganar,1
4194,colombia,1,"Volveriamos a lo mismo, no estamos teniendo cambios porq no todos los colombianos salimos a votar en las elecciones del congreso.",1
4201,colombia,1,"En mi opinion personal Colombia tiene muchos partidos politicos; soy partidaria de que en colombia se deberia reducir los puestos del congreso, con eso ahorraria dinero",1
1874,mexico,1,Democracia,1
1895,mexico,1,"Mas de 2,000 candidatos, 8 partidos diferentes fue el total de los politicos quienes concursaron para puestos de Diputación, mas de 90 millones de Mexicanos, dieron su voto confiando se cumpla lo prometido<br>",0
1903,mexico,1,Seria historia en el pais,1
1906,mexico,1,Estamos próximos al proceso que determinará quiénes serán los quinientos candidatos que dirigirán en gran medida la realidad de 90 millones de mexicanos. Los quinientos puestos disponibles fueronn ocupados por integrantes de ocho partidos.,0
1907,mexico,1,Morena seguira manteniendo la mayoría de los escaños.,0
1929,mexico,1,Elecciones para los 500 puestos de la Cámara de Diputados el domingo 6 de junio de 2021 con más de 2000 candidatos,0
1980,mexico,1,"Las elecciones federales del 6 de junio,hay 2000 candidatos para los 500 puestos que hay  en la cámara de diputados y dependerá de más 90 millones de mexicanos",0
2002,mexico,1,Las elecciones seran el 6 de junio para votar por candidatos,0
2053,mexico,1,"Una amplia participacion de la ciudadanía en las votaciones, permite a 8 partidos políticos continuar legislando.",0
2060,mexico,1,Realmente hay muy poca gente interesada en votar por lo que podríamos regresar a los anteriores partidos que tenían el poder.,1
2074,mexico,1,Esta por verse si morena ocupa mayoria,1
2098,mexico,1,Elecciones Federales<br>Retuvieron a partidos,0
2163,mexico,1,Explicación numérica del siguiente escenario de elecciones que presentará México,0
2178,mexico,1,Se habla sobre las elecciones que van a suceder el 6 de julio del año presente y en las que van votar 90 millones de mexicanos,0
2183,mexico,1,Que quedaron los de Morena para que no halla corrupción,1
2201,mexico,1,Hoy en día ocho partidos políticos mantuvieron el poder en la cámara de diputados,0
2217,mexico,1,Aproximadamente 90 millones de Mexicanos votaron en las elecciones del domingo 6 de junio 2021.<br>Ocho partidos se mantuvieron en la Asamblea.,0
2220,mexico,1,Los diputados van a ser seleccionados por aproximadamente 90 millones de Mexicanos.<br>En la cual 8 partidos retuvieron escaños en la Asamblea,0
2259,mexico,1,"Después de las elecciones, ocho partidos conservaron sus puestos dentro de la Asamblea.",0
2308,mexico,1,"Dependerá en gran medida de las campañas y ofrecimientos que hagan los partidos a la población en general, ya que la pandemia cambio el panorama de todo en general, y la técnologia influye aún más que la televisión ya que capta a la smentes jóvenes que son más manipulables",1
2327,mexico,1,Que las elecciones no fuerin justas,3
2362,mexico,1,"""El desenlace due igual que siempre, personas con poder politico dando a sus """"amigos"""" poder politico """,1
2379,mexico,1,los ciudadanos van a elegir los integrantes de la camara<br>todos tienen que participar,0
2385,mexico,1,Día de las  votaciones,0
2411,mexico,1,Algunos partidos no aceptaran perder,1
2414,mexico,1,hay dificultades por intereses propios,1
2444,mexico,1,Son las elecciones más grandes del país.<br><br>Se deben hacer bajo el marco de la ley.,1
2446,mexico,1,Imaginar que ya pasaron las elecciones y contaron los votos,0
2456,mexico,1,"Todo seguirá igual, no habrá cambios significativos",0
2459,mexico,1,"Se elegirán la mayoría de morena, entre más votos tenga morena menos revisión de leyes de tomaran",1
2460,mexico,1,"seguiria igual, hay mucha corrupcion en el país",1
2468,mexico,1,"Catástrofe en México, seguiran saqueando al pais, bueno al menos seguiran tratando",1
2476,mexico,1,Se espera que los millones de mexicanos voten en las elecciones federales,0
2479,mexico,1,Este seria coerupcion nuevamente,1
2490,mexico,1,"LOS RESULTADOS DE LAS ELECCIONES INDICAN QUE 8 PARTIDOS QUE GANARON LUGAR EN LA ASAMBLEA PASADA, SIGUEN OCUPANDO O CONSERVANDO SUS MISMOS LUGARES EN ESTE PERÍODO",0
2491,mexico,1,"En las elecciones de 2021, un caso hipotético de fraude a favor del partido en el poder.",3
2512,mexico,1,"La vida sigue de igual manera, ya que es algo que viene de décadas atrás, la corrupcion y engaños hacia la gente",1
2518,mexico,1,Algunos partidos hicieron trampa o estuvieron a nada de ganar,1
2519,mexico,1,Durante las votaciones los mismos partidos políticos van y desordenan las urnas para así alterar los resultados.,1
2563,mexico,1,Una vez más corrupción en la votacion,1
2648,mexico,1,"De 2000 candidatos solo 500 quedaron en puestos de la cámara de diputados, como resultado del voto de aprox. 90 millones de mexicanos",0
2699,mexico,1,"Cerca de 90 millones de mexicanos votaron para elegir a los 500 miembros de la Cámara de Diputados, los ganadores pertenecen a los mismos ocho partidos que ya contaban con representantes en la misma durante el período anterior.",0
2710,mexico,1,Partidos políticos con escaños en la asamblea de elecciones pasadas en el año presente.,0
2725,mexico,1,"Fraude en las elecciones federales, de nuevo.",3
2732,mexico,1,Fraude,3
2734,mexico,1,Que simplemente van a ganar los mismos partidos,0
2777,mexico,1,"Próximas elecciones, panorama incierto",0
2778,mexico,1,"En México se programan las elecciones federales, ke más de 2000 candidatos concursaran para los puestos de la cámara de Diputados.",0
2782,mexico,1,Probablemente el país cambie un poco,1
2811,mexico,1,El domingo 6 de Junio se realizó la votación para candidatos .,0
2820,mexico,1,Seguramente las personas que participaron no van a perder puestos al contrario ganarían algo a cambio,1
2843,mexico,1,Es fraude,1
2845,mexico,1,Proximas elecciones domingo 6 de junio donde 90 millones de personas determinarán  al futuro candidato,0
2877,mexico,1,Pues podía haber muchas diferencias de opiniones,1
2878,mexico,1,En las elecciones federales en México del 6 de junio de 2021 se llevó acabo un acto de corrupción por ocho partidos que retuvieron escaños en la Asamblea,3
2899,mexico,1,"Hay muchos políticos y pocos lugares, la gente decide quién se queda y quién no.",1
2939,mexico,1,corrupcion,3
2950,mexico,1,Desacuerdos y declaraciones falsas,1
2955,mexico,1,Optimismo,1
2965,mexico,1,Anulación de votos<br>,1
2967,mexico,1,.,3
2971,mexico,1,"Es un cambio largo, no tiene por qué retener los escaños",1
2983,mexico,1,"Despues de las eleecciones con mas de 2000 candidatos para los puestos en la camara y la eleccion de los 90 millones de mexicanos de los 8 partidos,  solo uno queda.",0
2986,mexico,1,Los mexicanos podrán votar el 6 de junio a más de 2000 cantidatos,0
3009,mexico,1,"las siguientes elecciones se realizaran el proximo 6 de junio, habra mas de 2000 candidatos y los aproximadamente 90 millones de mexicanos harán su eleccion",0
3010,mexico,1,"Espero, como siempre esperamos todos que trabajan de la mejor manera posible.",1
3012,mexico,1,No entendí,3
3052,mexico,1,Morena obtendrá la mayoría de escaños pero no por mucha diferencia y los demás siete partidos completarán los escaños faltantes de manera proporcional.,0
3054,mexico,1,Van a hacer corruptos como los demas y no van a hacer nada,1
3068,mexico,1,Esta bien,3
3096,mexico,1,Vuelven a aparecer escaños en las elecciones donde se eligirian a 500 deiputados,0
3121,mexico,1,Hay más candidatos que puestos,0
3126,mexico,1,Morena se convierte en potencia en la cámara de diputados,0
3127,mexico,1,Hay tantos políticos que quieren robar el dinero del país,1
3135,mexico,1,"Como resultado de las elecciones federales, los ocho partidos participantes lograron posicionarse en la Cámara de Diputados.",0
3154,mexico,1,90 millones de personas eligieron 8 partidos que ganaron puestos en la cámara de diputados,0
3180,mexico,1,Deberian de recortar el presupuesto  a los partidos politicos e invertir en infraestrura en las escuelas.,1
3191,mexico,1,Las elecciones en México serán el 6 de junio del 2021 y los resultados dependerán de 90 millones de mexicanos.,0
3214,mexico,1,"Elecciones a diputados el 06/06/2021, para elegir entre entre más de 2000 candidatos, elegidos entre 90mil mexicanos. Ocho partidos recibieron escaños el la asamblea.",0
3215,mexico,1,"Las elecciones federales en México están programadas para el domingo 6 de junio de 2021. Se espera que más de 2,000 candidatos registrados van a concursar por los quinientos puestos de la Cámara de Diputados. Los resultados van a ser determinados por aproximadamente 90 miliones de Mexicanos. las elecciones ya pasaron y ocho partidos retuvieron escaños en la Asamblea.",0
3218,mexico,1,La gente votando el 6 de junio para elegir uno de 2000 participantes,0
3223,mexico,1,Morena gana mayoria de candidaturas,0
3878,mexico,1,Tenemos en nuestras manos el poder de elegir a los que nos van a representar,1
3889,mexico,1,Elecciones el 6 de junio<br>Ganaron los mismos partidos de las elecciones pasadas,0
3958,mexico,1,Un aproximado de 90 millones de mexicanos emitieron su voto para elegir a los cerca de 500  diputados de los distintos partidos politicos en las elecciones,0
3972,mexico,1,Morena ganó la mayoría de ocupación en la cámara mientras que los demás partidos ocuparon el restante,0
3989,mexico,1,Q ay q esperar todo a su tiempo,1
4016,mexico,1,Gracias,3
4028,mexico,1,O,3
4087,mexico,1,Podría considerarse corrupción,1
4117,mexico,1,Ocho partidos retuvieron escaños en la asamblea y ahora están en la gobernatura,0
4125,mexico,1,Solo queda esperar que pasará,1
4129,mexico,1,"Las elecciones para Diputados fue de aproximadamente 90 millones de votos, 8 partidos tuvieron la mayoría de los votos.",0
4138,mexico,1,"""MORENA pierde la mayoria en congreso de la union pero ganan varios partidos """"satélite"""" del mismo Morena""",1
4166,mexico,1,Hay que votar conscientemente<br><br>La corrupción depende de a quienes elegimos<br>,1
4187,mexico,1,"Las elecciones pasadas del 6 de junio de 2021,  en la cual participaron más de 2000 candidatos por los quinientos puestos de la cámara de diputados.<br>Solo ocho partidos retuvieron escaños en la asamblea",0
4190,mexico,1,Elecciones federales en mexico,0
4214,mexico,1,Que se retuvieron en la asamblea,0
4227,mexico,1,En las elecciones más de 2000 candidatos dependerán de 90 millones de mexicanos<br>Solo ocho quedaron en la asamblea,0
4228,mexico,1,Va a haber elecciones el 6 de junio<br>8 parridos retuvieron escaños,0
4233,mexico,1,Muy bien,3
4256,mexico,1,Las elecciones fueron el día 6 y los partidos retuvieron escaños en la asamblea,0
4265,mexico,1,"El próximo 6 de junio del año 2021 se esperan elecciones de mayor número de personas, por el cual los diputados esperan un conteo de 90 millones de mexicanos o se estima que salgan a votar",0
4273,mexico,1,El país seguirá por buen camino como hasta ahora lo ha hecho el presidente,1
4280,mexico,1,"Debido a la corrupcion que hay en el país, es probable que se retengan puestos en la Asamblea.",1
4283,mexico,1,No. Lo sé,3
4294,mexico,1,Están esperando la votación de los mexicanos para ver quien gano,0
1993,colombia,2,En Colombia se presentan casos de fraude en las más resientes elecciones desde las comisiones electorales.<br>La corrupción vuelve a gobernar.<br>,0
2001,colombia,2,es lo que usualmente pasa en las elecciones de colombia es muy normal que eso suceda,1
2004,colombia,2,Los partidos que ganaron o retuvieron alteraron las votaciones con personas que trabajaban para el mismo partido,0
2005,colombia,2,"Corrupción, deshonestidad y mal uso del dinero.",1
2011,colombia,2,Alteracion y corrupcion electoral,0
2014,colombia,2,"No sería raro que pasara eso en un país tan lleno decorrupción como Colombia, al trasteo y compra de votos la corrupción de los funcionarios de las comisiones electorales en todo el país.",1
2047,colombia,2,"que los que tienen el poder en este momento del pais, colocaron las personas en los puestos de las registradurias donde se pueden realizar todos estos fraudes, inflando las cifras a favor de ellos mismos.",0
2065,colombia,2,"""En colombia no es raro que los muertos voten por """"x"""" o """"y"""" partido, es de conocimiento comun la compra y venta de votos. Los partidos hacen sus trucos para quedar en el poder.""",1
2068,colombia,2,"Mala conducta electoral, corrupción y poca seguridad en los lugares de votación.",0
2082,colombia,2,"funcionarios encargados en el conteo de votos, se dejan sobornar para inflar los numeros a favor de los que estan orita en el poder",0
2086,colombia,2,el poder siempre queda en manos de los mismos y no hay un cambio visible. La corrupcion y la mermelada siempre presente en todo tipo de elecciones,1
2094,colombia,2,El gobierno actual compró votos por las comisiones electorales en varias partes del pais,0
2096,colombia,2,Las proximas elecciones en el año 2022 en el caso hipotetico de compra y alteracion de votos por los empleados de las comisiones electorales para favorecer al candidato que se encuentra actualmente en el poder.,0
2103,colombia,2,"son escenarios recurrentes en elecciones en america latina, para perpetuar el poder.",1
2105,colombia,2,Elecciones en Colombia 2022 envueltas en un fraude electoral a favor de entes de poder.,0
2108,colombia,2,"En las elecciones de colombia , correspondientes al congreso se reportaron fraude electoral . Frente a esto se procede a acciones legales.",3
2109,colombia,2,"Fraude en elecciones politicas en el pais <br><br>Mas de 10 zonas sospechosas de fraude, elecciones poco confiables",0
2111,colombia,2,"en resumen, el partido en el poder, realica actos corruptos para que su gente siga en el poder.",0
2158,colombia,2,Escandalo y manipulacion de la informacion y el resultado de las elecciones en el pais.,0
2184,colombia,2,En ese escenario de congresistas solo se ve fraude y prcticaa de manipulacion en los votos,0
2186,colombia,2,"a partir de la manipulacion de la informacion que se le entrego a los votantes antes de las votaciones, la alteracion de los votos reales y la sumatoria de votos dobles o de votos ficticios, el partido politico que ha gobernado al pais durante los ultimos 20 años, mantendra su posicion juridica para seguir cometiendo atrocidades contra el pueblo Colombiano, para seguir arrasando con los herarios publicos y obligar a los ciudadanos a ser mas pobres.",0
2195,colombia,2,el partido politico que se encuentra actualmente en el poder compro votos a través de personas que trabajan en las comisiones electorales en diferentes regiones del país.,0
2215,colombia,2,Compra de votos,0
2218,colombia,2,Corrupción tras corrupción,1
2230,colombia,2,Existe un clientelismo politico en Colombia que ha llevado a que los mismos partidos de siempre se perpetuen en el poder,1
2245,colombia,2,Fraude electoral,0
2250,colombia,2,"en las proximas elecciones de colombia hay que estar pendiente por posibles fraudes en la recoleccion de los votos en las urnas, este tema es recurrente en todas las elecciones",0
2252,colombia,2,"""Fraude en las elecciones legislativas producto de registraduria nacional del estado civil y colaboradores o personas a cargo de  las urnas. <br>Fraude electoral y imposiciòn de """"dictadura"""" legislativa producto de la alteraciòn en las urnas y el desconocimiento de la voluntad popular real """,0
2261,colombia,2,En Colombia se mucho el fraude y la corrupción diariamente y más en tiempos de política,1
2273,colombia,2,"Hay elecciones generales en Colombia para el domingo 13 de marzo del 2022 y aproximadamente 36 millones de colombianos votarán.<br>Imaginando que veinte partidos politicos terminaron manteniendo escaños en el congreso, en un escenario hipotetico, después de las elecciones se supo que hubo fraude electoral a favor del partido en el poder y quienes realizaron tal acto fueron trabajadores de las comisiones electorales. Agreguele al caso hipotetico que esta manipulación se reprodujo en varias regiones del país.",0
2278,colombia,2,-PRACTICAMENTE COLOMBIA CADA 4 AÑOS,1
2301,colombia,2,Corrupción en todas las escalas,0
2311,colombia,2,en las elecciones de colombia se presento un caso e corrupcion en el conteo de los votos presentadas en varias regiones de pais,0
