CASE,QUESTNNR,RG02_01,TR02_01,attention_check
2171,colombia,1,creo que sigue el mal gobierno porque las personas no escogen a conciencia y se dejan comprar<br>siguimos iguales hasta que realmente el pueblo escoja la opcion del candidato del pueblo,Response
2216,colombia,1,"En Colombia la gente vota por los mismos corruptos, compran su voto con dinero o comida.",Response
2219,colombia,1,"creo que la politoca en Colombia no cambiaria de esta manera, Colombia necesita un cambio real.",Response
2221,colombia,1,ESTO SIGUE SIENDO EL MISMO CUENTO..,Response
2223,colombia,1,Las elecciones siempre son lo mismo,Response
2224,colombia,1,"Más de 36 millones de colombianos tendrán la posibilidad de elegir entre más de 1,000 candidatos para los 280 puestos del Congreso de la República. Estas elecciones se llevarán a cabo el domingo 13 de marzo de 2022",Summary
2225,colombia,1,Robo.,Response
2228,colombia,1,Seguiria estando presente la baja participacion y permeabilidad,Response
2246,colombia,1,el texto hace refencia a las elecciones del 2022 que han tenido un fraude y por eso es llevado a jucio,Unacceptable
2286,colombia,1,corrupcion en las elecciones generales de colombia,Response
2294,colombia,1,En las elecciones generales de Colombia se estimula un alrededor de 36 millones de votos para 280 puestos en el Congreso de la República.,Summary
2295,colombia,1,En las votaciones del 13 de marzo de 2022 20 partidos consiguieron puestos en el congreso.,Summary
2325,colombia,1,por corrupcion tuvieron ciertos errores,Unacceptable
2330,colombia,1,Los puestos en el congreso seran elegidos por los colombianos. ¿pero las elecciones seran limpias?,Response
2336,colombia,1,"Realmente hay un efecto de retencion del poder en donde no se amplia el panorama a nuveas opciones, se evidencia un estancamiento en la politica ya que no se permite tener alternativas sino las mismas doctrinas ideologicas una y otra vez.",Response
2339,colombia,1,las mismas bancadas politicas y más aún los mismos personajes politicos retienen una vez mas su puesto en el congreso de la república,Response
2342,colombia,1,Los Colombianos van a tomar mejores desiciones politicamente.<br>Son muchos partidos politicos para legislar un paìs,Response
2347,colombia,1,No le beneficiaria para nada al pais,Response
2392,colombia,1,Las pasadas elecciones dejaron varios escaños dentro del congreso,Response
2412,colombia,1,las elecciones para los congresistas fueron tomadas por la voz y voto de los colombianos,Summary
2415,colombia,1,"Se realizaron las elecciones del año 2022 donde el pueblo asumio su papel y reconoció que debe apropiarse de los espacios politicos para generar un cambio, la mayoria de los colombianos participó en las elecciones",Summary
2613,colombia,1,"El panorama político no ha cambiado, ya que los veinte partidos que retuvieron escaños en el Congreso, siguen teniendo la mayoría del poder.",Response
2623,colombia,1,"En las elecciones del pasado domingo 13 de marzo de 2022, al rededor de 1.000 candidatos concursaron por los 280 puestos del Congreso de la Republica, en donde aproximadamente 36 millones de Colombianos ejercieron su derecho al voto, arrojando como resultado, que veinte partidos politicos tuvieron escaños en dicha institucion.",Summary
2624,colombia,1,Diría que hubo corrupción teniendo en cuenta que la gente quiere un cambio y aún están los mismos en los puestos.,Response
2631,colombia,1,"Hubo corrupción en las elecciones, ya que no se generó el cambio del voto popular",Response
2636,colombia,1,Vinculación mediante influencias poderosas.,Response
2664,colombia,1,todas las 280 aspirantes para el congreso seran determinados por el pueblo colombiano por loque no habran ayudas de partidos politicos sera democracia.,Response
2675,colombia,1,Hay muchos candidatos impugnado los resultados al no estar de acuerdo con los conteos finales,Response
2678,colombia,1,"Seria un gran avance para Colombia, a los congresistas les pagan un sueldo demasiado alto e innecesario, ya que estos no aportan nada al pais y a las personas que habitamos en èl. Es momento de disminuir en una cifra realmente significativa el numero de puestos para el congreso.",Response
2690,colombia,1,Hay mucha corrupción.,Response
2713,colombia,1,SE REALIZO NUEVAMNETE LA ELECCION DE  LOS REPRESENTANTES AL CONGRESO DE LA REPUBLICA Y  COMO SIEMPRE NO SE ELIGIO SABIAMENTE Y BAJO CRITERIOS HONESTOS .,Response
2714,colombia,1,unas convocatoria a votar por los mismos partidos que ase adueñan de los cargos politicos y un pueblo que busca soluciones y cae en el mismo engaño.,Response
2730,colombia,1,Las elecciones de Colombia se harán el 13 de mayo del 2022 y más de 1.000 personas participaran por 280 puestos.<br>Los resultados se daran por la comunidad colombiana que equivale a 36 millones,Summary
2738,colombia,1,corrupcion en la totalidad del proceso para las elecciones,Response
2754,colombia,1,Es necesario un cambio.,Response
2758,colombia,1,"Si se mantuvieron los mismos partidos en el congreso, entonces serán otros 4 años de corrupción.<br>Siempre mantengo la esperanza de que haya un cambio político y se vea el progreso.",Response
2766,colombia,1,corrupcion,Response
2791,colombia,1,todo esta arreglado,Unacceptable
2799,colombia,1,los mismos partidos políticos y las mismas personas se quedan con las posiciones de poder dentro de nuestro país.,Response
2804,colombia,1,"eso ocurrio en mi pais, hicieron fraudes con los votos, las convocatorias tuvieron escaños y por eso hubo votos fraudolentos. no es primero vez que colombia pasa por casos como este, solo que en el 2018 se vio claramente los fraudes gracias a los colombianos que investigaron de ello",Response
2806,colombia,1,hay que saber que todo lleva una consecuencia,Response
2817,colombia,1,Mucha corrupcion a la hora de votar <br><br>Muchas propuestas engañosas,Response
2837,colombia,1,"En las elecciones del domingo 13 de marzo del 2022, 36 millones elejimos a 280 congresistas de entre mil candidatos, donde 20 partidos retuvieron escaños",Summary
2852,colombia,1,"En las próximas elecciones en Colombia se determinarán los 280 puestos del Congreso. Y una vez más se mantienen los de siempre, por la corrupción.",Response
2855,colombia,1,Que  las elecciones son  el 13 de marzo del 2022,Summary
2869,colombia,1,Pronto serán las elecciones<br>Y ya sabemos quienes son los nuevos en el gobierno,Response
2875,colombia,1,Pues se le ve la corrupcion y la retencion a no soltar siertos puestos,Response
2900,colombia,1,Las elecciones ya pasaron y en la actual convocatoria un total de 20 partidos tuvieron escaños en el congreso.,Summary
2915,colombia,1,.,Unacceptable
2924,colombia,1,"Corrupción, soborno y compra de votos <br>",Response
2946,colombia,1,"Los colombianos eligieron a 280 congresistas, de los cuales 20 partidos retuvieron escaños.",Summary
3043,colombia,1,Es muy necesario que la poblacion vote por su candidato para que no haigan en gallos,Response
3044,colombia,1,Tráfico de influencias,Response
3063,colombia,1,"Las elecciones son el 13 de marzo de 2022, hay concurso para 280 puestos del congreso",Summary
3065,colombia,1,en las pasadas elecciones del 13 de marzo 20 partidos politicos lograron retener sus escaños en el congreso,Summary
3070,colombia,1,"Dicho caso sería de nuevo una pérdida de dinero, ya que una gran cantidad de personas con escaños en el congreso no van a significar una buena calidad de liderazgo",Response
3097,colombia,1,las pasadas elecciones del 13 de marzo 20 partidos lograron retener sus escaños en el congreso,Summary
3109,colombia,1,"Cada una de las propuestas planteadas por los candidatos para los puestos del congreso, son el objetivo por el cual cada uno de los votantes de inclina. Lo quen quiere decir que si las difentes propuestas etán dirigidas al desarrollo social , desde cada uno de sus diversas variables (ecnonomía, empleo. educación, etc. ) y se trabaja en ello, los votantes encontrarán reconfortamiento por su buena elección.",Response
3117,colombia,1,En Colombia se tiene previsto que se presenten más de 1000 candidatos en las elecciones generales del siguiente año.<br><br>,Summary
3119,colombia,1,por mas presindestes que elijan en nuestro pais la corrupcion siempre va estar nunca va a cambiar,Response
3139,colombia,1,Sigue la corrupcion,Response
3143,colombia,1,En la eleccion anteion los resultados fueron determinados por  36 miliones de Colombianos y en las elecciones actuales veinte partidos mantuvieron su puesto en el congreso <br>,Summary
3145,colombia,1,corrupcion,Response
3148,colombia,1,"generales en Colombia están programadas para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a Imagínese que las elecciones ya pasaron y suponga que, como en la actual convocatoria, magínese que las elecciones ya pasaron y suponga que, como en la actual convocatoria,",Copy-paste
3168,colombia,1,La corrupción y los sobornos llevarán al poder al que mas dinero tenga para regalar.,Response
3192,colombia,1,Que todo se haga sin corrupción,Response
3208,colombia,1,"Si los partidos de la oposición al centro democrático y a los partidos del gobierno no logran sacar la mayoría en el congreso, no se obtendrán las ventajas de que seleccionemos un gobierno nuevo que pueda solucionar o mejorar mucho las dificultades por las que atraviesa el país.<br>Es necesario que las fuerzas de izquierda y centro se unan para esas elecciones.",Response
3209,colombia,1,Al realizar nuevamente las elecciones en Colombia en el 2022 quedaran 20 partidos asumiendo puestos en el congreso.,Summary
3886,colombia,1,los diferntes pártidos partidos politicas de colombia tuvieron un puesto en el congreso.,Summary
3887,colombia,1,"va seguir lo mismo la misma corrupcion, es congreso deberia reducirse y dejar 32  representantes",Response
3916,colombia,1,"De acuerdo a las elecciones pasadas, el congreso se mantiene polarizado por los mismos partidos políticos, es decir que la política colombiana no presenta mejoría, no hay cambios en quienes gobiernan al país.",Response
3917,colombia,1,Las elecciones en Colombia están programado el 13 de marzo de 2022 más de 1.000 candidatos van a pelear para obtener su respectivo puesto por cada uno de 280 puestos.<br>Lo cual se espera que más de 36 millones de colombianos elija sus próximos gobernantes en los próximos 4 años,Summary
3918,colombia,1,"este pais necesita un cambio urgentemente , en caso de que se retengan partidos es solo una muestra de la corrupcion , el pueblo pide cambio radical en el congreso . en consecuencia a eso se exige un cambio total de los integrantes y partidos",Response
3931,colombia,1,los 36 millones de colombianos entraran a elegir los 280 puestos del congreso el 13 de marzo del 2022<br>,Summary
3937,colombia,1,"La corrupción continúa vigente años después, aún del levantamiento del pueblo",Response
3938,colombia,1,El gobierno a partir del 2022 sería similar a los anteriores,Summary
3961,colombia,1,La mayoría de decisiones serán tomadas por un partido con una ventaja de veinte escaños,Response
3963,colombia,1,Que ya se tienen puestos fijados con engaños y mostrar que todo fue legítimo,Response
3984,colombia,1,Corrupcion Colombiana<br>Mucha mermelada en el gobierno,Response
3995,colombia,1,el pais se va a la chingada si seguimos eligiendo a los mismos,Response
3997,colombia,1,Se seguirán probando la plata del pueblo<br>Seguirá la corrupción,Response
4008,colombia,1,Hubo un escenario donde no primaron los partidos de siempre y se pudiera decir que hay menos poder de los partidos mayoritarios que llegan por medio de la corrupción.,Response
4009,colombia,1,la decision se basara en cada una de las personas que realicen su eleccion y eso decidira el resultado y rumbo del pais,Response
4011,colombia,1,Se da informacion de las proximas elecciones y la suposicion de que 20 partidos ocuparon un asiento politico en el congreso.,Summary
4012,colombia,1,Las elecciones del 2022 tuvieron la participación de 1000 candidatos en donde 36 millones de colombianos eligieron 250 puestos para el Congreso de la República que pertenecen a 20 partidos políticos.,Summary
4053,colombia,1,Según que los congresistas estarían siempre con los mas ricos y dejarían años pobres a defenderse solos,Response
4086,colombia,1,Elecciones del congreso del proximo año en Colombia.<br>Veinte partidos conservaron sus puestos en el Congreso.,Summary
4093,colombia,1,36 millones de de personas ejercen su derecho democratico para elegir entre más del 1000 candidatos,Summary
4094,colombia,1,"Pasará lo mismo que ha pasado siempre, la corrupción gana, compran votos por un tamal o la registraduria cambio los números para que gane el que dijo Uribe",Response
4100,colombia,1,"Las elecciones en general en Colombia permanecen programadas para el domingo 13 de marzo de 2022. <br>Se espera que bastante más de 1,000 candidatos registrados van a concursar por los 280 puestos del Congreso de la República. <br>",Summary
4110,colombia,1,Las elecciones del 2022 fueron ganadas por 20 partidos políticos.,Summary
4150,colombia,1,"Un escenario poco probable, Colombia se caracteriza por existir corrupción e impunidad.",Response
4152,colombia,1,Elecciones el dia 13 de marzo 2022,Summary
4153,colombia,1,En las elecciones generales veinte partidos quedaron con puestos en el congreso.,Summary
4176,colombia,1,Un resultado que demuestra division en las preferencias politicas del pais,Response
4191,colombia,1,Las elecciones ya se acercan y los 36 millones de colombianos votantes no han aprendido la leccion de que los partidos politicos que mantienen curules en el congreso son los mismos que actualmente mantienen al pueblo pobre y en crisis.,Response
4192,colombia,1,los entes de control que dan claridada y trasparencia a las votaciones no fueron totalmente idoneos para evitar estos tipos de engaños<br>los partidos politicos no han tenido la transparecia para ser justos ganadores y se valen de herramientas sucias para ganar,Response
4194,colombia,1,"Volveriamos a lo mismo, no estamos teniendo cambios porq no todos los colombianos salimos a votar en las elecciones del congreso.",Response
4201,colombia,1,"En mi opinion personal Colombia tiene muchos partidos politicos; soy partidaria de que en colombia se deberia reducir los puestos del congreso, con eso ahorraria dinero",Response
1874,mexico,1,Democracia,Response
1895,mexico,1,"Mas de 2,000 candidatos, 8 partidos diferentes fue el total de los politicos quienes concursaron para puestos de Diputación, mas de 90 millones de Mexicanos, dieron su voto confiando se cumpla lo prometido<br>",Summary
1903,mexico,1,Seria historia en el pais,Response
1906,mexico,1,Estamos próximos al proceso que determinará quiénes serán los quinientos candidatos que dirigirán en gran medida la realidad de 90 millones de mexicanos. Los quinientos puestos disponibles fueronn ocupados por integrantes de ocho partidos.,Summary
1907,mexico,1,Morena seguira manteniendo la mayoría de los escaños.,Summary
1929,mexico,1,Elecciones para los 500 puestos de la Cámara de Diputados el domingo 6 de junio de 2021 con más de 2000 candidatos,Summary
1980,mexico,1,"Las elecciones federales del 6 de junio,hay 2000 candidatos para los 500 puestos que hay  en la cámara de diputados y dependerá de más 90 millones de mexicanos",Summary
2002,mexico,1,Las elecciones seran el 6 de junio para votar por candidatos,Summary
2053,mexico,1,"Una amplia participacion de la ciudadanía en las votaciones, permite a 8 partidos políticos continuar legislando.",Summary
2060,mexico,1,Realmente hay muy poca gente interesada en votar por lo que podríamos regresar a los anteriores partidos que tenían el poder.,Response
2074,mexico,1,Esta por verse si morena ocupa mayoria,Response
2098,mexico,1,Elecciones Federales<br>Retuvieron a partidos,Summary
2163,mexico,1,Explicación numérica del siguiente escenario de elecciones que presentará México,Summary
2178,mexico,1,Se habla sobre las elecciones que van a suceder el 6 de julio del año presente y en las que van votar 90 millones de mexicanos,Summary
2183,mexico,1,Que quedaron los de Morena para que no halla corrupción,Response
2201,mexico,1,Hoy en día ocho partidos políticos mantuvieron el poder en la cámara de diputados,Summary
2217,mexico,1,Aproximadamente 90 millones de Mexicanos votaron en las elecciones del domingo 6 de junio 2021.<br>Ocho partidos se mantuvieron en la Asamblea.,Summary
2220,mexico,1,Los diputados van a ser seleccionados por aproximadamente 90 millones de Mexicanos.<br>En la cual 8 partidos retuvieron escaños en la Asamblea,Summary
2259,mexico,1,"Después de las elecciones, ocho partidos conservaron sus puestos dentro de la Asamblea.",Summary
2308,mexico,1,"Dependerá en gran medida de las campañas y ofrecimientos que hagan los partidos a la población en general, ya que la pandemia cambio el panorama de todo en general, y la técnologia influye aún más que la televisión ya que capta a la smentes jóvenes que son más manipulables",Response
2327,mexico,1,Que las elecciones no fuerin justas,Unacceptable
2362,mexico,1,"""El desenlace due igual que siempre, personas con poder politico dando a sus """"amigos"""" poder politico """,Response
2379,mexico,1,los ciudadanos van a elegir los integrantes de la camara<br>todos tienen que participar,Summary
2385,mexico,1,Día de las  votaciones,Summary
2411,mexico,1,Algunos partidos no aceptaran perder,Response
2414,mexico,1,hay dificultades por intereses propios,Response
2444,mexico,1,Son las elecciones más grandes del país.<br><br>Se deben hacer bajo el marco de la ley.,Response
2446,mexico,1,Imaginar que ya pasaron las elecciones y contaron los votos,Summary
2456,mexico,1,"Todo seguirá igual, no habrá cambios significativos",Summary
2459,mexico,1,"Se elegirán la mayoría de morena, entre más votos tenga morena menos revisión de leyes de tomaran",Response
2460,mexico,1,"seguiria igual, hay mucha corrupcion en el país",Response
2468,mexico,1,"Catástrofe en México, seguiran saqueando al pais, bueno al menos seguiran tratando",Response
2476,mexico,1,Se espera que los millones de mexicanos voten en las elecciones federales,Summary
2479,mexico,1,Este seria coerupcion nuevamente,Response
2490,mexico,1,"LOS RESULTADOS DE LAS ELECCIONES INDICAN QUE 8 PARTIDOS QUE GANARON LUGAR EN LA ASAMBLEA PASADA, SIGUEN OCUPANDO O CONSERVANDO SUS MISMOS LUGARES EN ESTE PERÍODO",Summary
2491,mexico,1,"En las elecciones de 2021, un caso hipotético de fraude a favor del partido en el poder.",Unacceptable
2512,mexico,1,"La vida sigue de igual manera, ya que es algo que viene de décadas atrás, la corrupcion y engaños hacia la gente",Response
2518,mexico,1,Algunos partidos hicieron trampa o estuvieron a nada de ganar,Response
2519,mexico,1,Durante las votaciones los mismos partidos políticos van y desordenan las urnas para así alterar los resultados.,Response
2563,mexico,1,Una vez más corrupción en la votacion,Response
2648,mexico,1,"De 2000 candidatos solo 500 quedaron en puestos de la cámara de diputados, como resultado del voto de aprox. 90 millones de mexicanos",Summary
2699,mexico,1,"Cerca de 90 millones de mexicanos votaron para elegir a los 500 miembros de la Cámara de Diputados, los ganadores pertenecen a los mismos ocho partidos que ya contaban con representantes en la misma durante el período anterior.",Summary
2710,mexico,1,Partidos políticos con escaños en la asamblea de elecciones pasadas en el año presente.,Summary
2725,mexico,1,"Fraude en las elecciones federales, de nuevo.",Unacceptable
2732,mexico,1,Fraude,Unacceptable
2734,mexico,1,Que simplemente van a ganar los mismos partidos,Summary
2777,mexico,1,"Próximas elecciones, panorama incierto",Summary
2778,mexico,1,"En México se programan las elecciones federales, ke más de 2000 candidatos concursaran para los puestos de la cámara de Diputados.",Summary
2782,mexico,1,Probablemente el país cambie un poco,Response
2811,mexico,1,El domingo 6 de Junio se realizó la votación para candidatos .,Summary
2820,mexico,1,Seguramente las personas que participaron no van a perder puestos al contrario ganarían algo a cambio,Response
2843,mexico,1,Es fraude,Response
2845,mexico,1,Proximas elecciones domingo 6 de junio donde 90 millones de personas determinarán  al futuro candidato,Summary
2877,mexico,1,Pues podía haber muchas diferencias de opiniones,Response
2878,mexico,1,En las elecciones federales en México del 6 de junio de 2021 se llevó acabo un acto de corrupción por ocho partidos que retuvieron escaños en la Asamblea,Unacceptable
2899,mexico,1,"Hay muchos políticos y pocos lugares, la gente decide quién se queda y quién no.",Response
2939,mexico,1,corrupcion,Unacceptable
2950,mexico,1,Desacuerdos y declaraciones falsas,Response
2955,mexico,1,Optimismo,Response
2965,mexico,1,Anulación de votos<br>,Response
2967,mexico,1,.,Unacceptable
2971,mexico,1,"Es un cambio largo, no tiene por qué retener los escaños",Response
2983,mexico,1,"Despues de las eleecciones con mas de 2000 candidatos para los puestos en la camara y la eleccion de los 90 millones de mexicanos de los 8 partidos,  solo uno queda.",Summary
2986,mexico,1,Los mexicanos podrán votar el 6 de junio a más de 2000 cantidatos,Summary
3009,mexico,1,"las siguientes elecciones se realizaran el proximo 6 de junio, habra mas de 2000 candidatos y los aproximadamente 90 millones de mexicanos harán su eleccion",Summary
3010,mexico,1,"Espero, como siempre esperamos todos que trabajan de la mejor manera posible.",Response
3012,mexico,1,No entendí,Unacceptable
3052,mexico,1,Morena obtendrá la mayoría de escaños pero no por mucha diferencia y los demás siete partidos completarán los escaños faltantes de manera proporcional.,Summary
3054,mexico,1,Van a hacer corruptos como los demas y no van a hacer nada,Response
3068,mexico,1,Esta bien,Unacceptable
3096,mexico,1,Vuelven a aparecer escaños en las elecciones donde se eligirian a 500 deiputados,Summary
3121,mexico,1,Hay más candidatos que puestos,Summary
3126,mexico,1,Morena se convierte en potencia en la cámara de diputados,Summary
3127,mexico,1,Hay tantos políticos que quieren robar el dinero del país,Response
3135,mexico,1,"Como resultado de las elecciones federales, los ocho partidos participantes lograron posicionarse en la Cámara de Diputados.",Summary
3154,mexico,1,90 millones de personas eligieron 8 partidos que ganaron puestos en la cámara de diputados,Summary
3180,mexico,1,Deberian de recortar el presupuesto  a los partidos politicos e invertir en infraestrura en las escuelas.,Response
3191,mexico,1,Las elecciones en México serán el 6 de junio del 2021 y los resultados dependerán de 90 millones de mexicanos.,Summary
3214,mexico,1,"Elecciones a diputados el 06/06/2021, para elegir entre entre más de 2000 candidatos, elegidos entre 90mil mexicanos. Ocho partidos recibieron escaños el la asamblea.",Summary
3215,mexico,1,"Las elecciones federales en México están programadas para el domingo 6 de junio de 2021. Se espera que más de 2,000 candidatos registrados van a concursar por los quinientos puestos de la Cámara de Diputados. Los resultados van a ser determinados por aproximadamente 90 miliones de Mexicanos. las elecciones ya pasaron y ocho partidos retuvieron escaños en la Asamblea.",Summary
3218,mexico,1,La gente votando el 6 de junio para elegir uno de 2000 participantes,Summary
3223,mexico,1,Morena gana mayoria de candidaturas,Summary
3878,mexico,1,Tenemos en nuestras manos el poder de elegir a los que nos van a representar,Response
3889,mexico,1,Elecciones el 6 de junio<br>Ganaron los mismos partidos de las elecciones pasadas,Summary
3958,mexico,1,Un aproximado de 90 millones de mexicanos emitieron su voto para elegir a los cerca de 500  diputados de los distintos partidos politicos en las elecciones,Summary
3972,mexico,1,Morena ganó la mayoría de ocupación en la cámara mientras que los demás partidos ocuparon el restante,Summary
3989,mexico,1,Q ay q esperar todo a su tiempo,Response
4016,mexico,1,Gracias,Unacceptable
4028,mexico,1,O,Unacceptable
4087,mexico,1,Podría considerarse corrupción,Response
4117,mexico,1,Ocho partidos retuvieron escaños en la asamblea y ahora están en la gobernatura,Summary
4125,mexico,1,Solo queda esperar que pasará,Response
4129,mexico,1,"Las elecciones para Diputados fue de aproximadamente 90 millones de votos, 8 partidos tuvieron la mayoría de los votos.",Summary
4138,mexico,1,"""MORENA pierde la mayoria en congreso de la union pero ganan varios partidos """"satélite"""" del mismo Morena""",Response
4166,mexico,1,Hay que votar conscientemente<br><br>La corrupción depende de a quienes elegimos<br>,Response
4187,mexico,1,"Las elecciones pasadas del 6 de junio de 2021,  en la cual participaron más de 2000 candidatos por los quinientos puestos de la cámara de diputados.<br>Solo ocho partidos retuvieron escaños en la asamblea",Summary
4190,mexico,1,Elecciones federales en mexico,Summary
4214,mexico,1,Que se retuvieron en la asamblea,Summary
4227,mexico,1,En las elecciones más de 2000 candidatos dependerán de 90 millones de mexicanos<br>Solo ocho quedaron en la asamblea,Summary
4228,mexico,1,Va a haber elecciones el 6 de junio<br>8 parridos retuvieron escaños,Summary
4233,mexico,1,Muy bien,Unacceptable
4256,mexico,1,Las elecciones fueron el día 6 y los partidos retuvieron escaños en la asamblea,Summary
4265,mexico,1,"El próximo 6 de junio del año 2021 se esperan elecciones de mayor número de personas, por el cual los diputados esperan un conteo de 90 millones de mexicanos o se estima que salgan a votar",Summary
4273,mexico,1,El país seguirá por buen camino como hasta ahora lo ha hecho el presidente,Response
4280,mexico,1,"Debido a la corrupcion que hay en el país, es probable que se retengan puestos en la Asamblea.",Response
4283,mexico,1,No. Lo sé,Unacceptable
4294,mexico,1,Están esperando la votación de los mexicanos para ver quien gano,Summary
1993,colombia,2,En Colombia se presentan casos de fraude en las más resientes elecciones desde las comisiones electorales.<br>La corrupción vuelve a gobernar.<br>,Summary
2001,colombia,2,es lo que usualmente pasa en las elecciones de colombia es muy normal que eso suceda,Response
2004,colombia,2,Los partidos que ganaron o retuvieron alteraron las votaciones con personas que trabajaban para el mismo partido,Summary
2005,colombia,2,"Corrupción, deshonestidad y mal uso del dinero.",Response
2011,colombia,2,Alteracion y corrupcion electoral,Summary
2014,colombia,2,"No sería raro que pasara eso en un país tan lleno decorrupción como Colombia, al trasteo y compra de votos la corrupción de los funcionarios de las comisiones electorales en todo el país.",Response
2047,colombia,2,"que los que tienen el poder en este momento del pais, colocaron las personas en los puestos de las registradurias donde se pueden realizar todos estos fraudes, inflando las cifras a favor de ellos mismos.",Summary
2065,colombia,2,"""En colombia no es raro que los muertos voten por """"x"""" o """"y"""" partido, es de conocimiento comun la compra y venta de votos. Los partidos hacen sus trucos para quedar en el poder.""",Response
2068,colombia,2,"Mala conducta electoral, corrupción y poca seguridad en los lugares de votación.",Summary
2082,colombia,2,"funcionarios encargados en el conteo de votos, se dejan sobornar para inflar los numeros a favor de los que estan orita en el poder",Summary
2086,colombia,2,el poder siempre queda en manos de los mismos y no hay un cambio visible. La corrupcion y la mermelada siempre presente en todo tipo de elecciones,Response
2094,colombia,2,El gobierno actual compró votos por las comisiones electorales en varias partes del pais,Summary
2096,colombia,2,Las proximas elecciones en el año 2022 en el caso hipotetico de compra y alteracion de votos por los empleados de las comisiones electorales para favorecer al candidato que se encuentra actualmente en el poder.,Summary
2103,colombia,2,"son escenarios recurrentes en elecciones en america latina, para perpetuar el poder.",Response
2105,colombia,2,Elecciones en Colombia 2022 envueltas en un fraude electoral a favor de entes de poder.,Summary
2108,colombia,2,"En las elecciones de colombia , correspondientes al congreso se reportaron fraude electoral . Frente a esto se procede a acciones legales.",Unacceptable
2109,colombia,2,"Fraude en elecciones politicas en el pais <br><br>Mas de 10 zonas sospechosas de fraude, elecciones poco confiables",Summary
2111,colombia,2,"en resumen, el partido en el poder, realica actos corruptos para que su gente siga en el poder.",Summary
2158,colombia,2,Escandalo y manipulacion de la informacion y el resultado de las elecciones en el pais.,Summary
2184,colombia,2,En ese escenario de congresistas solo se ve fraude y prcticaa de manipulacion en los votos,Summary
2186,colombia,2,"a partir de la manipulacion de la informacion que se le entrego a los votantes antes de las votaciones, la alteracion de los votos reales y la sumatoria de votos dobles o de votos ficticios, el partido politico que ha gobernado al pais durante los ultimos 20 años, mantendra su posicion juridica para seguir cometiendo atrocidades contra el pueblo Colombiano, para seguir arrasando con los herarios publicos y obligar a los ciudadanos a ser mas pobres.",Summary
2195,colombia,2,el partido politico que se encuentra actualmente en el poder compro votos a través de personas que trabajan en las comisiones electorales en diferentes regiones del país.,Summary
2215,colombia,2,Compra de votos,Summary
2218,colombia,2,Corrupción tras corrupción,Response
2230,colombia,2,Existe un clientelismo politico en Colombia que ha llevado a que los mismos partidos de siempre se perpetuen en el poder,Response
2245,colombia,2,Fraude electoral,Summary
2250,colombia,2,"en las proximas elecciones de colombia hay que estar pendiente por posibles fraudes en la recoleccion de los votos en las urnas, este tema es recurrente en todas las elecciones",Summary
2252,colombia,2,"""Fraude en las elecciones legislativas producto de registraduria nacional del estado civil y colaboradores o personas a cargo de  las urnas. <br>Fraude electoral y imposiciòn de """"dictadura"""" legislativa producto de la alteraciòn en las urnas y el desconocimiento de la voluntad popular real """,Summary
